# symbol_names.csv - the curated target-RVA -> source-symbol map.
#
# This is the human-grown heart of the matching loop. Each row names one
# function in the delinked target (GRUNTZ.EXE) with its real source symbol and
# records which translation unit it belongs to. scripts/rebuild.py applies this
# as an overlay onto build/ghidra-enrich/exports/functions.csv, so the synth
# PDB + vostok-delinker emit a per-unit <unit>.c.obj (named symbols) that
# objdiff pairs directly against the recompiled base <unit>.obj.
#
# Columns:
#   rva  - .text RVA in GRUNTZ.EXE (hex, ImageBase 0x400000; VA = 0x400000+rva).
#   name - exact symbol as the compiler emits it. VC5 cdecl => leading '_'
#          (e.g. _adler32). Must equal the base object's symbol for objdiff to
#          pair the two.
#   unit - source translation unit stem (no extension). All rows with the same
#          unit are grouped into one target <unit>.c.obj, mirroring the base
#          <unit>.obj from compiling vendor/zlib-1.0.4/<unit>.c.
#
# Grow this file as functions are identified; re-run scripts/rebuild.py.
# Currently scoped to zlib 1.0.4 (see docs/zlib-matching.md) but designed to
# extend to the whole engine.
rva,name,unit
0x1882d0,_adler32,adler32
0x18a330,_inflate_trees_bits,inftrees
0x18a390,_huft_build,inftrees
0x18a850,_inflate_trees_dynamic,inftrees
0x18a940,_inflate_trees_fixed,inftrees
0x18aa90,_falloc,inftrees
0x18aab0,_inflate_trees_free,inftrees
0x18aaf0,_inflate_codes_new,infcodes
0x18ab30,_inflate_codes,infcodes
0x18b2e0,_inflate_codes_free,infcodes
0x18b300,_inflate_flush,infutil
0x18b440,_inflate_fast,inffast
0x18a100,_set_data_type,trees
0x18a170,_bi_reverse,trees
0x18a220,_bi_windup,trees
0x18a290,_copy_block,trees
0x1886b0,_init_block,trees
0x188720,_gen_codes,trees
0x1887a0,__tr_stored_block,trees
0x188ad0,__tr_flush_block,trees
0x188d00,_build_tree,trees
0x188f40,_pqdownheap,trees
0x189000,_gen_bitlen,trees
0x189230,_build_bl_tree,trees
0x1892b0,_scan_tree,trees
0x1893a0,_send_all_trees,trees
0x189610,_send_tree,trees
0x189b90,__tr_tally,trees
0x189cb0,_compress_block,trees
0x188250,_inflate_blocks_free,infblock
0x188290,_inflate_set_dictionary,infblock
0x187490,_inflate_blocks_reset,infblock
0x187530,_inflate_blocks_new,infblock
0x1875a0,_inflate_blocks,infblock
0x188410,_zcalloc,zutil
0x188430,_zcfree,zutil
0x186af0,_deflate_stored,deflate
0x186c00,_fill_window,deflate
0x186d30,_read_buf,deflate
0x186db0,_deflate_fast,deflate
0x187000,_longest_match,deflate
0x187170,_deflate_slow,deflate
# --- engine constructors (self-located via RTTI vftables) -------------------
# MSVC-mangled thiscall ctor names (??0<Class>@@QAE@XZ). The vftable store is a
# DIR32 relocation; objdiff compares the code bytes (reloc target named
# differently on each side - see report).
0x13cf00,??0CGameWnd@@QAE@XZ,gamewnd
0x13d590,??0CGameApp@@QAE@XZ,gameapp
0x1005d0,??0CStatusBarItem@@QAE@XZ,statusbaritem
0x101fa0,??0CSBI_RectOnly@@QAE@XZ,sbi_rectonly
0x1107f0,??0CTileTriggerLogic@@QAE@XZ,tiletriggerlogic
